Liters per Hour,Strainer Height,Day,Hour,Minutes,Seconds,Label
120,4,29/09/2016,16,55,31,0
128,4,29/09/2016,16,55,32,0
128,3,29/09/2016,16,55,33,0
128,3,29/09/2016,16,55,34,0
128,3,29/09/2016,16,55,35,0
128,5,29/09/2016,16,55,36,0
112,5,29/09/2016,16,55,37,0
104,6,29/09/2016,16,55,38,0
96,8,29/09/2016,16,55,39,0
80,7,29/09/2016,16,55,40,0
80,7,29/09/2016,16,55,41,0
72,8,29/09/2016,16,55,42,0
72,7,29/09/2016,16,55,43,0
72,7,29/09/2016,16,55,44,0
72,7,29/09/2016,16,55,45,0
64,7,29/09/2016,16,55,46,0
72,7,29/09/2016,16,55,47,0
72,7,29/09/2016,16,55,48,0
80,7,29/09/2016,16,55,49,0
80,7,29/09/2016,16,55,50,0
80,7,29/09/2016,16,55,51,0
80,8,29/09/2016,16,55,52,0
80,7,29/09/2016,16,55,53,0
80,6,29/09/2016,16,55,54,0
88,6,29/09/2016,16,55,55,0
88,5,29/09/2016,16,55,56,0
96,6,29/09/2016,16,55,57,0
96,5,29/09/2016,16,55,58,0
112,4,29/09/2016,16,55,59,0
112,4,29/09/2016,16,56,0,0
120,5,29/09/2016,16,56,1,0
120,4,29/09/2016,16,56,2,0
128,4,29/09/2016,16,56,3,0
120,4,29/09/2016,16,56,4,0
128,4,29/09/2016,16,56,5,0
120,4,29/09/2016,16,56,6,0
120,4,29/09/2016,16,56,7,0
120,4,29/09/2016,16,56,8,0
120,4,29/09/2016,16,56,9,0
120,4,29/09/2016,16,56,10,0
120,6,29/09/2016,16,56,11,0
104,6,29/09/2016,16,56,12,0
112,5,29/09/2016,16,56,13,0
96,6,29/09/2016,16,56,14,0
96,6,29/09/2016,16,56,15,0
88,6,29/09/2016,16,56,16,0
96,5,29/09/2016,16,56,17,0
88,6,29/09/2016,16,56,18,0
88,6,29/09/2016,16,56,19,0
88,7,29/09/2016,16,56,20,0
80,7,29/09/2016,16,56,21,0
72,6,29/09/2016,16,56,22,0
80,7,29/09/2016,16,56,23,0
88,6,29/09/2016,16,56,24,0
88,6,29/09/2016,16,56,25,0
88,6,29/09/2016,16,56,26,0
80,8,29/09/2016,16,56,27,0
72,7,29/09/2016,16,56,28,0
64,8,29/09/2016,16,56,29,0
48,9,29/09/2016,16,56,30,0
64,8,29/09/2016,16,56,31,0
88,5,29/09/2016,16,56,32,0
104,7,29/09/2016,16,56,33,0
128,3,29/09/2016,16,56,34,0
136,3,29/09/2016,16,56,35,0
128,4,29/09/2016,16,56,36,0
136,3,29/09/2016,16,56,37,0
136,3,29/09/2016,16,56,38,0
128,3,29/09/2016,16,56,39,0
128,5,29/09/2016,16,56,40,0
120,4,29/09/2016,16,56,41,0
120,5,29/09/2016,16,56,42,0
120,4,29/09/2016,16,56,43,0
120,7,29/09/2016,16,56,44,0
112,5,29/09/2016,16,56,45,0
104,5,29/09/2016,16,56,46,0
112,5,29/09/2016,16,56,47,0
96,5,29/09/2016,16,56,48,0
104,6,29/09/2016,16,56,49,0
96,6,29/09/2016,16,56,50,0
88,5,29/09/2016,16,56,51,0
96,5,29/09/2016,16,56,52,0
96,5,29/09/2016,16,56,53,0
96,6,29/09/2016,16,56,54,0
88,6,29/09/2016,16,56,55,0
96,6,29/09/2016,16,56,56,0
88,6,29/09/2016,16,56,57,0
88,7,29/09/2016,16,56,58,0
80,6,29/09/2016,16,56,59,0
72,7,29/09/2016,16,57,0,0
72,7,29/09/2016,16,57,1,0
